feature,coefficient,abs_coefficient
num__emp.var.rate,-2.9718606175177227,2.9718606175177227
cat__month_mar,1.826719213358935,1.826719213358935
num__duration,1.816546925499151,1.816546925499151
num__cons.price.idx,1.0897475195968507,1.0897475195968507
num__euribor3m,0.9714075701044507,0.9714075701044507
cat__month_may,-0.955263206482063,0.955263206482063
cat__month_aug,0.8188483351191524,0.8188483351191524
cat__month_jun,-0.763123063029503,0.763123063029503
cat__month_nov,-0.6487314073509663,0.6487314073509663
cat__job_retired,0.4783081508918458,0.4783081508918458
cat__poutcome_failure,-0.41782889830896774,0.41782889830896774
cat__contact_telephone,-0.377447861386322,0.377447861386322
cat__default_unknown,-0.32057376772635754,0.32057376772635754
cat__job_blue-collar,-0.2641169522859309,0.2641169522859309
cat__poutcome_success,0.2546615593389001,0.2546615593389001
num__pdays,-0.23245051335723513,0.23245051335723513
cat__education_university.degree,0.21386411945395872,0.21386411945395872
cat__job_student,0.1813687813099431,0.1813687813099431
cat__job_services,-0.15659814368783612,0.15659814368783612
cat__month_oct,0.15343740336304548,0.15343740336304548
cat__job_self-employed,-0.152655036882362,0.152655036882362
cat__job_entrepreneur,-0.1300802466310019,0.1300802466310019
cat__month_sep,0.12115759849310018,0.12115759849310018
cat__day_of_week_mon,-0.09860879442205273,0.09860879442205273
cat__marital_single,0.09725964816044033,0.09725964816044033
cat__education_basic.4y,-0.08896425665267893,0.08896425665267893
cat__day_of_week_thu,-0.08037847853683508,0.08037847853683508
cat__education_professional.course,0.06228539581249507,0.06228539581249507
num__campaign,-0.061498049750832215,0.061498049750832215
cat__day_of_week_wed,0.0551829535230377,0.0551829535230377
cat__month_apr,-0.05118644480691753,0.05118644480691753
cat__loan_no,0.049076182217633386,0.049076182217633386
cat__job_management,-0.04778989956653022,0.04778989956653022
num__previous,-0.04385269503089168,0.04385269503089168
cat__education_unknown,0.0378235278141304,0.0378235278141304
cat__housing_yes,0.02655155287678097,0.02655155287678097
cat__marital_divorced,-0.022525555381267208,0.022525555381267208
cat__job_unemployed,0.016095329967127883,0.016095329967127883
cat__day_of_week_fri,0.014275819238032743,0.014275819238032743
num__cons.conf.idx,0.00942007954025088,0.00942007954025088
cat__education_high.school,-0.0056988114404100875,0.0056988114404100875
cat__education_basic.6y,-0.004067715416369288,0.004067715416369288
cat__default_no,0.0019369539272425403,0.0019369539272425403
num__age,0.0008862484739497526,0.0008862484739497526
cat__contact_cellular,0.00013151830730677926,0.00013151830730677926
cat__poutcome_nonexistent,0.0,0.0
cat__day_of_week_tue,0.0,0.0
cat__job_admin.,0.0,0.0
cat__loan_unknown,0.0,0.0
cat__month_jul,0.0,0.0
cat__month_dec,0.0,0.0
cat__loan_yes,0.0,0.0
cat__housing_unknown,0.0,0.0
cat__housing_no,0.0,0.0
cat__default_yes,0.0,0.0
cat__education_illiterate,0.0,0.0
cat__education_basic.9y,0.0,0.0
cat__marital_unknown,0.0,0.0
cat__marital_married,0.0,0.0
cat__job_unknown,0.0,0.0
cat__job_technician,0.0,0.0
cat__job_housemaid,0.0,0.0
num__nr.employed,0.0,0.0
