feature,importance
nr.employed,0.4324057471014627
contact,0.2696554768353064
month,0.16661368318275074
euribor3m,0.13387412022778328
campaign,0.08888467320227303
emp.var.rate,0.0811438551655446
day_of_week,0.07910657390239104
age,0.06427439935454357
pdays,0.05885442087378189
job,0.056343451997062206
poutcome,0.05593709950684761
cons.conf.idx,0.04666846928664975
education,0.04313879163188723
default,0.0332130605035241
cons.price.idx,0.02389288579568604
previous,0.021485972703074438
housing,0.019027137535254382
marital,0.015014364395027418
loan,0.011769059919226279
