feature,importance
emp.var.rate,0.06237470753235283
nr.employed,0.055453455219445266
euribor3m,0.048319201525929736
contact,0.02874255449858773
cons.conf.idx,0.016949040468729845
pdays,0.013784729751251912
cons.price.idx,0.01138417684786808
month,0.011141153809672092
age,0.010003479297657878
campaign,0.009561545921828415
default,0.008587422747910549
poutcome,0.008097117254287274
day_of_week,0.0076637221450465195
education,0.006912488113682867
job,0.005000653470054817
previous,0.0033728377873783297
marital,0.0033371761476173024
loan,0.002369462092753675
housing,0.0022957333181398225
