feature,importance
num__duration,2.0628629
num__emp.var.rate,0.79849935
num__nr.employed,0.42103037
num__euribor3m,0.2508922
num__cons.conf.idx,0.19835736
num__age,0.106804505
num__pdays,0.08104072
cat__contact_cellular,0.06665817
cat__month_may,0.063619934
num__cons.price.idx,0.06354226
num__campaign,0.06061107
cat__default_no,0.059469286
cat__poutcome_failure,0.0583171
cat__day_of_week_mon,0.0402234
cat__education_university.degree,0.039782356
cat__month_oct,0.034746297
cat__month_mar,0.034388095
cat__day_of_week_tue,0.027914554
cat__month_apr,0.027024902
cat__poutcome_success,0.026861217
cat__job_blue-collar,0.026068537
cat__day_of_week_fri,0.024011595
cat__month_nov,0.02233637
cat__day_of_week_wed,0.022063898
cat__education_basic.4y,0.018034173
cat__day_of_week_thu,0.015856417
cat__job_admin.,0.0153598385
cat__job_technician,0.0104189
cat__housing_no,0.010155954
cat__month_jul,0.010034051
cat__housing_yes,0.007821369
cat__loan_no,0.007557892
cat__job_retired,0.007501125
cat__education_high.school,0.007216045
cat__marital_single,0.0071212626
cat__education_professional.course,0.0067976927
cat__job_self-employed,0.006511353
cat__month_jun,0.00615641
cat__job_student,0.0055470327
cat__marital_married,0.0054176715
cat__job_services,0.0048783994
cat__education_basic.6y,0.004116596
num__previous,0.003869975
cat__marital_divorced,0.0032993555
cat__education_unknown,0.0032323825
cat__job_management,0.0029765754
cat__job_entrepreneur,0.002621292
cat__month_aug,0.0017146638
cat__loan_yes,0.001212757
cat__month_dec,0.0012017281
cat__education_basic.9y,0.0011681559
cat__default_unknown,0.0010447695
cat__job_unknown,0.00089269964
cat__month_sep,0.0008216614
cat__job_unemployed,0.0007345418
cat__poutcome_nonexistent,0.0004802073
cat__job_housemaid,7.815248e-05
cat__default_yes,0.0
cat__education_illiterate,0.0
cat__contact_telephone,0.0
cat__marital_unknown,0.0
cat__housing_unknown,0.0
cat__loan_unknown,0.0
