feature,importance
num__duration,0.07033616960987583
num__emp.var.rate,0.023544523203514658
num__nr.employed,0.021938519088950045
num__euribor3m,0.013939481799593319
num__pdays,0.0075570543831191975
cat__poutcome_success,0.006172216868128462
num__cons.conf.idx,0.005868660676602281
cat__month_may,0.005793939389617602
cat__contact_telephone,0.005165219981457077
cat__contact_cellular,0.005136923621246025
num__cons.price.idx,0.005056385122707231
num__age,0.004808652597612717
cat__poutcome_failure,0.00297866967795796
cat__poutcome_nonexistent,0.002317458785164387
cat__default_no,0.0020646650953510216
cat__month_mar,0.0020623306967880598
cat__education_university.degree,0.0019409538495444077
num__previous,0.0018924527174777673
num__campaign,0.0018850299612269746
cat__default_unknown,0.0018349628567305746
cat__month_oct,0.0017111234803871345
cat__month_apr,0.0016562988464903776
cat__day_of_week_mon,0.0014790255399526227
cat__day_of_week_wed,0.0013838418110482507
cat__marital_single,0.0012974211218186292
cat__day_of_week_tue,0.0012510087634441205
cat__job_retired,0.0011461189075732347
cat__job_admin.,0.0011027533900126302
cat__day_of_week_fri,0.0010949877147367218
cat__marital_married,0.0010703354361411834
cat__job_blue-collar,0.0010312838019183217
cat__month_jun,0.0009513322855891623
cat__day_of_week_thu,0.0009301791132164222
cat__month_nov,0.0008535224158681171
cat__job_technician,0.000848915211320598
cat__housing_no,0.0008358903337135851
cat__housing_yes,0.0008140642588956244
cat__education_high.school,0.0007319765405185165
cat__loan_no,0.000674104095879472
cat__loan_yes,0.0006524753191861478
cat__month_jul,0.0006282606661138297
cat__month_aug,0.0005975867806370605
cat__education_basic.4y,0.0005913640516059515
cat__month_sep,0.0005730138885788318
cat__education_professional.course,0.0005652580456607805
cat__education_basic.9y,0.0005093831901118211
cat__job_student,0.00047563912365749335
cat__marital_divorced,0.0004239490326904076
cat__job_services,0.00042050631514918893
cat__job_management,0.0004074378533230488
cat__education_unknown,0.0003459387351359633
cat__education_basic.6y,0.00034144108544393605
cat__job_entrepreneur,0.0002363381341091315
cat__job_self-employed,0.00022550521995950054
cat__job_housemaid,0.0002051095758943142
cat__job_unemployed,0.00018492899810256788
cat__housing_unknown,8.819617866134491e-05
cat__month_dec,8.063771866168605e-05
cat__loan_unknown,7.681451773780526e-05
cat__job_unknown,5.9940232457290123e-05
cat__marital_unknown,3.2031260741639006e-05
cat__education_illiterate,2.3154762572874896e-06
cat__default_yes,1.8665162357200243e-08
